salud,recursos,x,y,enemigos_cerca,agresividad,perfil,rendimiento
49.0,5.0,7.566244001063256,16.260954660324373,3.0,0.7468693370281266,oportunista,129.0
15.0,10.0,-4.118945506107056,3.5824209351257053,0.0,0.3350074081037141,ofensivo,125.0
92.0,1.0,-2.3527425760792413,1.4216266895073275,0.0,0.9875461394986156,cauteloso,108.0
70.0,3.0,-0.3003291765253362,0.569834498885206,3.0,0.7653056121265234,ofensivo,186.0
80.0,8.0,-0.4736484182536922,10.02739693768854,3.0,0.09994136156659816,oportunista,95.0
99.0,7.0,7.701051027471504,4.35679901615965,3.0,0.41732708509829664,cauteloso,126.0
50.0,7.0,-0.8342746084910991,8.486428712300123,0.0,0.6225161154077943,ofensivo,120.0
22.0,6.0,1.8409517469792247,-7.651693600304415,1.0,0.6785800458632255,cauteloso,116.0
98.0,2.0,4.986634075741394,-12.772035144545645,1.0,0.8419748976960929,cauteloso,208.0
53.0,5.0,3.671451184300592,-4.3828387841517875,0.0,0.52830654706186,ofensivo,143.0
73.0,7.0,16.226941739598328,3.7506001629413976,0.0,0.18475655268452118,cauteloso,153.0
23.0,5.0,7.110963609632659,-15.392588613400845,0.0,0.7677518462402542,cauteloso,88.0
29.0,11.0,10.969288761448745,-0.8578688174380673,0.0,0.6126743257271052,cauteloso,72.0
73.0,2.0,-1.5075252514215332,11.788574711588861,0.0,0.9309161234065175,cauteloso,39.0
81.0,1.0,-9.259852592022877,-8.346725160441064,0.0,0.28532785563944907,ofensivo,118.0
20.0,6.0,9.231581254486064,12.114582917298462,0.0,0.472814201106584,ofensivo,72.0
98.0,13.0,-16.28942957103672,-1.3098374325345095,0.0,0.6592591402966581,cauteloso,115.0
46.0,11.0,5.721621579220198,-12.25063310744829,0.0,0.8581069376024681,ofensivo,101.0
28.0,7.0,15.856548259302073,15.307025948585544,0.0,0.8283740740804758,ofensivo,183.0
48.0,6.0,-16.320270621822726,12.39438254894526,1.0,0.629425198394947,oportunista,35.0
87.0,1.0,-2.2062107855876256,4.883173370151216,1.0,0.5948967803143772,cauteloso,145.0
56.0,6.0,9.936206304174352,13.376002876850642,4.0,0.05333463849231401,ofensivo,125.0
88.0,4.0,-5.049530423299107,1.4883012412322358,1.0,0.9717461666890312,ofensivo,177.0
94.0,7.0,-1.6360356919608372,-4.129503631113636,3.0,0.9973407050744314,cauteloso,146.0
72.0,7.0,7.640102329984866,-2.2007019951300393,0.0,0.9866657664338991,oportunista,123.0
57.0,9.0,0.04877049440677084,6.331316312569854,3.0,0.32809188357080876,ofensivo,202.0
77.0,5.0,8.716488020546658,9.94039597978567,2.0,0.8981567532470278,oportunista,169.0
88.0,7.0,4.360110178038106,-11.636339738383452,4.0,0.8562993341751359,oportunista,144.0
